Ticker,Company,Sector,Region,Manual_Rating,Default_Event,ReportDate,Year,TotalAssets,TotalLiabilities,TotalEquity,TotalDebt,Cash,Revenue,EBITDA,EBIT,NetIncome,InterestExpense,OperatingCashFlow,MarketCap,SharePrice,Return_1Y,Volatility_1Y
TGT,Target,Retail,US,A,0,2023-01-31,2023,53335000000.0,42103000000.0,11232000000.0,19073000000.0,2229000000.0,109120000000.0,6596000000.0,3896000000.0,2780000000.0,478000000.0,4018000000.0,69964060887.8546,151.9811553955078,-0.21857645906191236,0.463905576551045
TGT,Target,Retail,US,A,0,2024-01-31,2024,55356000000.0,41924000000.0,13432000000.0,19646000000.0,3805000000.0,107412000000.0,8600000000.0,5799000000.0,4138000000.0,502000000.0,8621000000.0,60343296405.86615,130.70501708984375,-0.15727816641079362,0.306246070355805
TGT,Target,Retail,US,A,0,2025-01-31,2025,57769000000.0,43103000000.0,14666000000.0,19875000000.0,4762000000.0,106566000000.0,8653000000.0,5672000000.0,4091000000.0,411000000.0,7367000000.0,58924729606.72989,129.34371948242188,-0.03713813181395831,0.3827600294224314
COST,Costco,Retail,US,A+,0,2021-08-31,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.9793395996094,0.3564565785397167,0.1804767718363646
COST,Costco,Retail,US,A+,0,2022-08-31,2022,64166000000.0,43519000000.0,20642000000.0,9039000000.0,10203000000.0,226954000000.0,9898000000.0,7998000000.0,5844000000.0,158000000.0,7392000000.0,222283468226.5625,502.1494140625,0.15819905127870149,0.295537103957868
COST,Costco,Retail,US,A+,0,2023-08-31,2023,68994000000.0,43936000000.0,25058000000.0,8884000000.0,13700000000.0,242290000000.0,10724000000.0,8647000000.0,6292000000.0,160000000.0,11068000000.0,231770055709.28955,523.4275512695312,0.04644703673597994,0.23088263293966063
COST,Costco,Retail,US,A+,0,2024-08-31,2024,69831000000.0,46209000000.0,23622000000.0,8169000000.0,9906000000.0,254453000000.0,12146000000.0,9909000000.0,7367000000.0,169000000.0,11339000000.0,392862031741.6992,886.569580078125,0.687584085523604,0.19396887029644885
COST,Costco,Retail,US,A+,0,2025-08-31,2025,77099000000.0,47935000000.0,29164000000.0,8173000000.0,14161000000.0,275235000000.0,13398000000.0,10972000000.0,8099000000.0,154000000.0,13335000000.0,406635725404.96826,917.4227905273438,0.051066425392877646,0.1735902608147422
M,Macy's,Retail,US,BB,0,2021-01-31,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.740274429321287,-0.04836454982628724,0.9660147181119406
M,Macy's,Retail,US,BB,0,2022-01-31,2022,17590000000.0,13969000000.0,3621000000.0,6826000000.0,1712000000.0,25399000000.0,2999000000.0,2125000000.0,1430000000.0,259000000.0,2712000000.0,7284384759.521484,21.83568572998047,0.752359458617375,0.6628399926749046
